date,series_name,series_match_type,match,venue
"05/02/2020, 07:30:00","India tour of New Zealand, 2020","1st ODI","New Zealand vs India","Seddon Park, Hamilton"
"08/02/2020, 07:30:00","India tour of New Zealand, 2020","2nd ODI","New Zealand vs India","Eden Park, Auckland"
"11/02/2020, 07:30:00","India tour of New Zealand, 2020","3rd ODI","New Zealand vs India","Bay Oval, Mount Maunganui"
"14/02/2020, 03:30:00","India tour of New Zealand, 2020","3-day Practice Match","New Zealand XI vs India","Seddon Park, Hamilton"
"21/02/2020, 04:00:00","India tour of New Zealand, 2020","1st Test","New Zealand vs India","Basin Reserve, Wellington"
"29/02/2020, 04:00:00","India tour of New Zealand, 2020","2nd Test","New Zealand vs India","Hagley Oval, Christchurch"
"12/03/2020, 14:00:00","South Africa tour of India, 2020","1st ODI","India vs South Africa","Himachal Pradesh Cricket Association Stadium, Dharamsala"
"15/03/2020, 14:00:00","South Africa tour of India, 2020","2nd ODI","India vs South Africa","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"18/03/2020, 14:00:00","South Africa tour of India, 2020","3rd ODI","India vs South Africa","Eden Gardens, Kolkata"
"24/10/2020, 16:30:00","ICC Mens T20 World Cup 2020","14th Match","India vs South Africa","Perth Stadium, Perth"
"29/10/2020, 13:30:00","ICC Mens T20 World Cup 2020","23rd Match","India vs TBC","Melbourne Cricket Ground, Melbourne"
"01/11/2020, 13:30:00","ICC Mens T20 World Cup 2020","29th Match","India vs England","Melbourne Cricket Ground, Melbourne"
"05/11/2020, 14:00:00","ICC Mens T20 World Cup 2020","36th Match","India vs TBC","Adelaide Oval, Adelaide"
"08/11/2020, 13:30:00","ICC Mens T20 World Cup 2020","42nd Match","India vs Afghanistan","Sydney Cricket Ground, Sydney"
